Alloy,Tensile Strength: Ultimate (UTS) (psi),Melting Completion (Liquidus),Al,As,B,C,Ca,Ce,Co,Cr,Cu,Fe,La,Mg,Mn,Mo,N,Nb,Ni,O,P,Pb,S,Se,Si,Sn,Ta,Ti,V,W,Zn,Zr
"ACI-ASTM CD6MN (ASTM A890 Grade 3A, J93371) Cast Stainless Steel",730.0,1440.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,25.5,0.0,66.1,0.0,0.0,0.5,2.15,0.2,0.0,5.0,0.0,0.02,0.0,0.02,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CE30 (J93423) Cast Stainless Steel,630.0,1410.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,28.0,0.0,60.55,0.0,0.0,0.75,0.0,0.0,0.0,9.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CE3MN (ASTM A890 Grade 5A, J93404) Cast Stainless Steel",770.0,1450.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,25.0,0.0,62.0,0.0,0.0,0.75,4.5,0.2,0.0,7.0,0.0,0.02,0.0,0.02,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CE8MN (ASTM A890 Grade 2A, J93345) Cast Stainless Steel",750.0,1440.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,24.0,0.0,61.2,0.0,0.0,0.5,3.75,0.2,0.0,9.5,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CF10SMnN (J92972) Cast Stainless Steel,660.0,1360.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,17.0,0.0,62.25,0.0,0.0,8.0,0.0,0.13,0.0,8.5,0.0,0.03,0.0,0.015,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CF16F (J92701) Cast Stainless Steel,530.0,1420.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,19.5,0.0,67.05,0.0,0.0,0.75,0.75,0.0,0.0,10.5,0.0,0.085,0.0,0.02,0.275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CF16Fa Cast Stainless Steel,540.0,1420.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,19.5,0.0,67.25,0.0,0.0,0.75,0.6000000000000001,0.0,0.0,10.5,0.0,0.02,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CF20 (SCS12,J92602) Cast Stainless Steel",530.0,1420.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,19.5,0.0,69.1,0.0,0.0,0.75,0.0,0.0,0.0,9.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CF3 (SCS19, SCS19A,J92500) Cast Stainless Steel",510.0,1420.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,19.0,0.0,68.95,0.0,0.0,0.75,0.25,0.0,0.0,10.0,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CF3M (SCS16A,J92800) Cast Stainless Steel",520.0,1440.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,19.0,0.0,65.95,0.0,0.0,0.75,2.5,0.0,0.0,11.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CF3MN (J92804) Cast Stainless Steel,580.0,1440.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,19.5,0.0,65.30000000000001,0.0,0.0,0.75,2.5,0.15,0.0,11.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CF8 (SCS13, SCS13A,J92600) Cast Stainless Steel",540.0,1420.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,19.5,0.0,68.9,0.0,0.0,0.75,0.25,0.0,0.0,9.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CF8C (SCS21,J92710) Cast Stainless Steel",530.0,1420.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,19.5,0.0,67.4,0.0,0.0,0.75,0.25,0.0,0.5,10.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CF8M (SCS14, SCS14A,J92900) Cast Stainless Steel",540.0,1440.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,19.5,0.0,65.65,0.0,0.0,0.75,2.5,0.0,0.0,10.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CG12 (J93001) Cast Stainless Steel,550.0,1410.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,21.5,0.0,65.15,0.0,0.0,0.75,0.0,0.0,0.0,11.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CG3M (J92999) Cast Stainless Steel,580.0,1450.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,19.5,0.0,64.45,0.0,0.0,0.75,3.5,0.0,0.0,11.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CG6MMN (J93790) Cast Stainless Steel,670.0,1420.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,22.0,0.0,57.0,0.0,0.0,5.0,2.25,0.3,0.2,12.5,0.0,0.02,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0
ACI-ASTM CG8M (J93000) Cast Stainless Steel,550.0,1450.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,19.5,0.0,64.4,0.0,0.0,0.75,3.5,0.0,0.0,11.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CH10 (J93401) Cast Stainless Steel,540.0,1410.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,24.0,0.0,60.4,0.0,0.0,0.75,0.25,0.0,0.0,13.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CH20 (SCS17,J93402) Cast Stainless Steel",610.0,1410.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,24.0,0.0,60.35,0.0,0.0,0.75,0.25,0.0,0.0,13.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CK20 (J94202) Cast Stainless Steel,530.0,1400.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,25.0,0.0,52.35,0.0,0.0,1.0,0.25,0.0,0.0,20.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CK35MN Cast Stainless Steel,650.0,1460.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,23.0,0.2,47.6,0.0,0.0,1.0,6.4,0.265,0.0,21.0,0.0,0.0175,0.0,0.01,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACI-ASTM CK3MCuN (1.4593,J93254) Cast Stainless Steel",620.0,1460.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,20.0,0.75,52.9,0.0,0.0,0.6,6.5,0.21,0.0,18.5,0.0,0.0225,0.0,0.005,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CN3M (J94652) Cast Stainless Steel,500.0,1450.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,21.0,0.0,47.45,0.0,0.0,1.0,5.0,0.0,0.0,25.0,0.0,0.015,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CN3MN (J94651) Cast Stainless Steel,620.0,1460.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,21.0,0.375,45.85,0.0,0.0,1.0,6.5,0.22,0.0,24.5,0.0,0.02,0.0,0.005,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CN7M (J95150) Cast Stainless Steel,480.0,1410.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,20.5,3.5,42.95,0.0,0.0,0.75,2.5,0.0,0.0,29.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CN7MS (J94650) Cast Stainless Steel,540.0,1400.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,19.0,1.75,49.45,0.0,0.0,0.5,2.75,0.0,0.0,23.5,0.0,0.02,0.0,0.015,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM CT15C (N08151) Cast Stainless Steel,500.0,1410.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,20.0,0.0,44.75,0.0,0.0,0.825,0.0,0.0,1.0,32.5,0.0,0.015,0.0,0.015,0.0,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CA15-SCS1-J91150-Cast-Stainless-Steel,700.0,1440.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,12.75,0.0,85.15,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CA15M-J91151-Cast-Stainless-Steel,690.0,1450.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,12.75,0.0,85.25,0.0,0.0,0.5,0.575,0.0,0.0,0.5,0.0,0.02,0.0,0.02,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CA28MWV-J91422-Cast-Stainless-Steel,1080.0,1470.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,11.75,0.0,83.6,0.0,0.0,0.75,1.1,0.0,0.0,0.75,0.0,0.015,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.25,1.1,0.0,0.0
ACI-ASTM-CA40-SCS2A-J91153-Cast-Stainless-Steel,910.0,1440.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,12.75,0.0,84.9,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CA40F-J91154-Cast-Stainless-Steel,770.0,1430.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,12.75,0.0,84.94999999999999,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.02,0.0,0.3,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CA6N-J91650-Cast-Stainless-Steel,1080.0,1440.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,11.5,0.0,80.7,0.0,0.0,0.25,0.0,0.0,0.0,7.0,0.0,0.01,0.0,0.01,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CA6NM-J91540-Cast-Stainless-Steel,850.0,1450.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,12.75,0.0,81.5,0.0,0.0,0.5,0.7,0.0,0.0,4.0,0.0,0.02,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CB30-J91803-Cast-Stainless-Steel,500.0,1430.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,19.5,0.6,77.45,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CB6-J91804-Cast-Stainless-Steel,880.0,1440.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,16.5,0.0,77.7,0.0,0.0,0.5,0.25,0.0,0.0,4.5,0.0,0.02,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CB7Cu-1-J92180-Cast-Stainless-Steel,652.4829777576033,1430.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,16.6,2.85,75.35,0.0,0.0,0.35,0.0,0.025,0.175,4.1,0.0,0.0175,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CB7Cu-2-J92110-Cast-Stainless-Steel,652.4829777576033,1430.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,14.75,2.85,76.3,0.0,0.0,0.35,0.0,0.025,0.175,5.0,0.0,0.0175,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CC50-J92615-Cast-Stainless-Steel,430.0,1420.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,28.0,0.0,68.45,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CD3MCuN-ASTM-A890-Grade-1C-J93373-Cast-Stainless-Steel,790.0,1440.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,25.35,1.65,62.05,0.0,0.0,0.6,3.35,0.275,0.0,6.15,0.0,0.015,0.0,0.015,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CD3MN-ASTM-A890-Grade-4A-J92205-Cast-Stainless-Steel,710.0,1450.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,22.25,0.5,67.25,0.0,0.0,0.75,3.0,0.2,0.0,5.5,0.0,0.02,0.0,0.01,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CD3MWCuN-ASTM-A890-Grade-6A-J93380-Cast-Stainless-Steel,790.0,1460.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,25.0,0.75,60.95,0.0,0.0,0.75,3.5,0.25,0.0,7.5,0.0,0.015,0.0,0.0125,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0
ACI-ASTM-CD4MCu-ASTM-A890-Grade-1A-J93370-Cast-Stainless-Steel,770.0,1430.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,25.5,3.05,63.1,0.0,0.0,0.5,2.05,0.0,0.0,5.4,0.0,0.02,0.0,0.02,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CD4MCuN-ASTM-A890-Grade-1B-J93372-Cast-Stainless-Steel,770.0,1420.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,25.5,3.0,62.9,0.0,0.0,0.5,2.0,0.175,0.0,5.35,0.0,0.02,0.0,0.02,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CD6MN-ASTM-A890-Grade-3A-J93371-Cast-Stainless-Steel,730.0,1440.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,25.5,0.0,66.1,0.0,0.0,0.5,2.15,0.2,0.0,5.0,0.0,0.02,0.0,0.02,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CE30-J93423-Cast-Stainless-Steel,630.0,1410.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,28.0,0.0,60.55,0.0,0.0,0.75,0.0,0.0,0.0,9.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CE3MN-ASTM-A890-Grade-5A-J93404-Cast-Stainless-Steel,770.0,1450.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,25.0,0.0,62.0,0.0,0.0,0.75,4.5,0.2,0.0,7.0,0.0,0.02,0.0,0.02,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CE8MN-ASTM-A890-Grade-2A-J93345-Cast-Stainless-Steel,750.0,1440.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,24.0,0.0,61.2,0.0,0.0,0.5,3.75,0.2,0.0,9.5,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CF10SMnN-J92972-Cast-Stainless-Steel,660.0,1360.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,17.0,0.0,62.25,0.0,0.0,8.0,0.0,0.13,0.0,8.5,0.0,0.03,0.0,0.015,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CF16F-J92701-Cast-Stainless-Steel,530.0,1420.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,19.5,0.0,67.05,0.0,0.0,0.75,0.75,0.0,0.0,10.5,0.0,0.085,0.0,0.02,0.275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CF16Fa-Cast-Stainless-Steel,540.0,1420.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,19.5,0.0,67.25,0.0,0.0,0.75,0.6000000000000001,0.0,0.0,10.5,0.0,0.02,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CF20-SCS12-J92602-Cast-Stainless-Steel,530.0,1420.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,19.5,0.0,69.1,0.0,0.0,0.75,0.0,0.0,0.0,9.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CF3-SCS19-SCS19A-J92500-Cast-Stainless-Steel,510.0,1420.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,19.0,0.0,68.95,0.0,0.0,0.75,0.25,0.0,0.0,10.0,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CF3M-SCS16A-J92800-Cast-Stainless-Steel,520.0,1440.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,19.0,0.0,65.95,0.0,0.0,0.75,2.5,0.0,0.0,11.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CF3MN-J92804-Cast-Stainless-Steel,580.0,1440.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,19.5,0.0,65.30000000000001,0.0,0.0,0.75,2.5,0.15,0.0,11.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CF8-SCS13-SCS13A-J92600-Cast-Stainless-Steel,540.0,1420.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,19.5,0.0,68.9,0.0,0.0,0.75,0.25,0.0,0.0,9.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CF8C-SCS21-J92710-Cast-Stainless-Steel,530.0,1420.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,19.5,0.0,67.4,0.0,0.0,0.75,0.25,0.0,0.5,10.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CF8M-SCS14-SCS14A-J92900-Cast-Stainless-Steel,540.0,1440.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,19.5,0.0,65.65,0.0,0.0,0.75,2.5,0.0,0.0,10.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CG12-J93001-Cast-Stainless-Steel,550.0,1410.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,21.5,0.0,65.15,0.0,0.0,0.75,0.0,0.0,0.0,11.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CG3M-J92999-Cast-Stainless-Steel,580.0,1450.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,19.5,0.0,64.45,0.0,0.0,0.75,3.5,0.0,0.0,11.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CG6MMN-J93790-Cast-Stainless-Steel,670.0,1420.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,22.0,0.0,57.0,0.0,0.0,5.0,2.25,0.3,0.2,12.5,0.0,0.02,0.0,0.015,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0
ACI-ASTM-CG8M-J93000-Cast-Stainless-Steel,550.0,1450.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,19.5,0.0,64.4,0.0,0.0,0.75,3.5,0.0,0.0,11.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CH10-J93401-Cast-Stainless-Steel,540.0,1410.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,24.0,0.0,60.4,0.0,0.0,0.75,0.25,0.0,0.0,13.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CH20-SCS17-J93402-Cast-Stainless-Steel,610.0,1410.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,24.0,0.0,60.35,0.0,0.0,0.75,0.25,0.0,0.0,13.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACI-ASTM-CK20-J94202-Cast-Stainless-Steel,530.0,1400.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,25.0,0.0,52.35,0.0,0.0,1.0,0.25,0.0,0.0,20.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
